author,url
"HTTP Error 301: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently",http://www.relevantmagazine.com/relevant-magazine/issue-59-sepoct-2012
n4mdavao,https://issuu.com/n4mdavao/docs/n4m_may_issue
Sebastian Pop,http://news.softpedia.com/news/Kickstarter-Project-of-the-Day-Blink-1-Super-Status-Light-Video-285987.shtml
Shirley Halperin,http://www.hollywoodreporter.com/earshot/yellow-dogs-iranian-indie-rock-band-kickstarter-318083
Vancity Buzz Staff,http://www.vancitybuzz.com/2015/04/tobo-track-tobo-toys-live-kickstarter/
,http://www.hellowonderful.co/post/CREATIVE-ECO-WOOD-TOY-TRACKS-FROM-TOBO-TRACK
HTTP Error 404: Not Found,http://www.artsy-dartsy.com/posts/1959-tobo-toys-made-of-liquid-wood-designed-by-vancouve
,http://www.hellowonderful.co/post/UPCYCLED-ROBOT-KITS-FROM-THE-OFFBITS
,http://www.notey.com/blogs/technode-DOT-com?page=27
,http://www.notey.com/blogs/asia-web
Contact Me,https://www.megafounder.com/mind-journal
Emanuel Mendes,http://www.gentlemansdivision.com/groundbreaking-new-journal-men/
,http://mindjournals.tumblr.com/
,http://www.mensjournal.com/expert-advice/best-of-ces-2016-the-17-coolest-things-we-saw-20160107/giroptic
,http://www.notey.com/blogs/bucketsandspadesblog-dot-com
eric rea,http://www.designboom.com/readers/ipad-cases-by-levi-price-eric-rea/
Gene Ryan Briones,http://www.ubergizmo.com/2012/04/bowden-sheffield-minimalist-ipad-cases-are-an-ipad-lovers-delight/
Judie Lipsett Stanford,http://geardiary.com/2012/05/17/bowden-sheffield-minimalist-ipad-cases-kickstart-this/
Cyrus,http://www.allistuff.com/sheffield-minimalist-ipad-case/
,http://surfingbird.ru/surf/cRhl153eF
Dan Cohen,http://geardiary.com/2012/05/18/solmate-iphones-hottest-solar-inductive-and-battery-case-kickstart-this/
,http://www.snobtop.com/2012/05/bowden-sheffield-minimalist-ipad-cases/
,http://www.notey.com/blogs/vertical-turntable?page=4
,http://www.notey.com/blogs/tuxedo-formal?page=17
,http://www.tabroid.jp/news/2013/03/earphone-wind.html
,http://windsurferen2.no/node/19004
TABROID,http://news.livedoor.com/article/detail/7529696/
rodrigo caula I designboom,http://www.designboom.com/technology/googles-project-loon-balloon-powered-internet/
,http://www.iphonelife.com/blog/5/luxi-light-meter-and-other-add-sensors-your-iphone
,http://www.1kindphotography.com/2013/01/review-o2-hurricane-canless-air-system.html
,http://ridiculo.us/general/how-we-made-the-weewow-or-idea-prototype-kickstarter-in-3-12-weeks/
<urlopen error timed out>,http://ridiculo.us/general/the-99-shades-postmortem/
<urlopen error timed out>,http://ridiculo.us/general/a-few-cool-stats-from-run-free-2013/
,http://www.egotripland.com/iphone-talk-box/
HTTP Error 404: Not Found,http://tecnologia.terra.com.br/eletronicos/caneta-que-imprime-em-3d-vira-10-maior-projeto-do-kickstarter
